Grade;Cod;Descricao;UN;Inicial;Ent.;Ent.MCDD;Reserva;Trans.;Saidas;Sai.MCDD;Disp.;Res.Magali;Inic.Agend.;Ent.Agend.;Sai.Agend.;Disp.Agend.
01;022202;TAZ PT 1LSHC06 ;cx  ;0000030;0000000;0000000;0000000;000000; 000000; 000000; 0000030; 0000000;0000000;0000000;0000000; 0000000
01;022209;GUARVNAT COPPL2;cx  ;0000004;0000000;0000000;0000000;000000; 000000; 000000; 0000004; 0000000;0000000;0000000;0000000; 0000000
01;022211;GUAVNGINS GFAP5;cx  ;0000024;0000000;0000000;0000000;000000; 000000; 000000; 0000024; 0000000;0000000;0000000;0000000; 0000000
01;022213;GUAVNAC GFAP500;cx  ;0000031;0000000;0000000;0000000;000000; 000000; 000000; 0000031; 0000000;0000000;0000000;0000000; 0000000
01;022235;HOEWITNAC LT269;cx  ;0000033;0000000;0000000;0000000;000000; 000000; 000000; 0000033; 0000000;0000000;0000000;0000000; 0000000
01;022259;SUKITA UVA PT20;cx  ;0001066;0000000;0000000;0000000;000000; 000000; 000000; 0001066; 0000000;0000000;0000000;0000000; 0000000
01;022326;BRDM LT473SH12N;cx  ;0000746;0000000;0000000;0000000;000000; 000000; 000000; 0000746; 0000000;0000000;0000000;0000000; 0000000
01;022382;PASSPSEL GFVD1L;un  ;0000021;0000000;0000000;0000000;000000; 000000; 000000; 0000021; 0000000;0000000;0000000;0000000; 0000000
01;022514;BALFIN GV750ML ;un  ;0000289;0000000;0000000;0000000;000000; 000000; 000000; 0000289; 0000000;0000000;0000000;0000000; 0000000
01;022618;BC OW1LGRFECXC/;cx  ;0000090;0000000;0000000;0000000;000000; 000000; 000000; 0000090; 0000000;0000000;0000000;0000000; 0000000
01;022830;MONTCO GFVD1L  ;un  ;0000050;0000000;0000000;0000000;000000; 000000; 000000; 0000050; 0000000;0000000;0000000;0000000; 0000000
01;023029;JOHWALBL GFVD1L;un  ;0000073;0000000;0000000;0000000;000000; 000000; 000000; 0000073; 0000000;0000000;0000000;0000000; 0000000
01;023030;JOHWALBL GV750M;un  ;0000061;0000000;0000000;0000000;000000; 000000; 000000; 0000061; 0000000;0000000;0000000;0000000; 0000000
01;023186;SPTN 600       ;Dz  ;0000562;0000000;0000000;0000000;000000; 000000; 000000; 0000562; 0000000;0000000;0000000;0000000; 0000000
01;023246;PLEICOND TETR39;cx  ;0000085;0000000;0000000;0000000;000000; 000000; 000000; 0000085; 0000000;0000000;0000000;0000000; 0000000
